n,fib,runtime
1,1,1.06462464088398e-06
2,1,2.06370107142857e-07
3,2,1.1427074057971e-06
4,3,8.13146955484897e-07
5,5,8.82456215083799e-07
6,8,7.47101961483595e-07
7,13,1.08010160869565e-06
8,21,1.06128634920635e-06
9,34,8.48113765060241e-07
10,55,3.42284173913043e-07
11,89,2.41278836565097e-07
12,144,3.11759023746702e-07
13,233,5.16029509536785e-07
14,377,2.22656630727763e-07
15,610,2.02081343381389e-07
16,987,1.243975e-06
17,1597,5.02951899862826e-07
18,2584,3.75875735502122e-07
19,4181,2.29611708160443e-07
20,6765,2.32529763888889e-07
21,10946,2.51393170028819e-07
22,17711,4.73172861111111e-07
23,28657,7.13201489971347e-07
24,46368,2.53055386206897e-07
25,75025,2.55880480769231e-07
26,121393,2.73250173370319e-07
27,196418,3.15866390449438e-07
28,317811,2.6459317721519e-07
29,514229,3.00136053370787e-07
30,832040,3.25138201058201e-07
31,1346269,9.49336160458453e-07
32,2178309,1.19397313084112e-06
33,3524578,1.05985186440678e-06
34,5702887,1.46262427745665e-06
35,9227465,4.00032959183673e-07
